Category,Resume
Android Developer,"Android Developer with 8 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2021. Published multiple apps on Google Play Store."
Web Developer,"Frontend Developer with 8 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2023. Designed responsive and user-friendly web interfaces."
Testing,"QA Engineer with 6 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2017."
Machine Learning Engineer,"ML Engineer with 2 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2021. Designed and deployed ML models at scale."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 5 years. MCA 2019."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 7 years experience. B.Tech CSE 2021."
Testing,"QA Engineer with 6 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2023."
Machine Learning Engineer,"ML Engineer with 2 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2017. Designed and deployed ML models at scale."
Machine Learning Engineer,"ML Engineer with 8 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2018. Designed and deployed ML models at scale."
Web Developer,"Full Stack Web Developer with 3 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2022. Built scalable web applications and RESTful APIs."
Data Science,"Data Scientist with 4 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2023. Experience in building end-to-end ML pipelines and deploying models to production."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 6 years experience. B.Tech 2015."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 7 years experience. MCA 2019."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 1 years experience. B.Tech IT 2016."
Data Science,"Experienced Data Scientist with 3 years of experience in Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, SQL, Pandas, NumPy, Scikit-learn, Matplotlib, Seaborn, Tableau, Power BI, NLP, Computer Vision, Docker, AWS, Git, Flask, Jupyter Notebook. B.Tech Computer Science 2022. Built predictive models and data pipelines. Strong skills in statistical analysis, feature engineering, model evaluation and deployment."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 5 years experience. B.Tech 2019."
Testing,"QA Engineer with 7 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2020."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 2 years experience. B.Tech CSE 2017."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 3 years experience. B.Tech IT 2021."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 1 years. MCA 2020."
Machine Learning Engineer,"ML Engineer with 5 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2016. Designed and deployed ML models at scale."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 6 years experience. B.Tech IT 2016."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 7 years experience. B.Tech IT 2020."
SQL Developer,"Database Developer and Administrator. Skills: SQL, MySQL, Oracle, PostgreSQL, MongoDB, ETL, Data Warehousing, Stored Procedures, Indexing, Query Optimization, Power BI, Excel. 5 years. MCA 2016."
DevOps Engineer,"DevOps Engineer with 6 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2016. Automated infrastructure and deployment pipelines."
Python Developer,"Backend Python Developer. Skills: Python, Flask, Django, REST API, GraphQL, PostgreSQL, MySQL, MongoDB, Docker, Git, AWS, Linux, Redis, Celery, pytest. 6 years experience. B.Tech IT 2021."
DevOps Engineer,"DevOps Engineer with 2 years experience in Docker, Kubernetes, Jenkins, Git, GitHub, CI/CD, AWS, Azure, GCP, Terraform, Ansible, Linux, Bash, Python, Prometheus, Grafana. B.Tech CSE 2022. Automated infrastructure and deployment pipelines."
Data Analyst,"Data Analyst with 3 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2023. Analyzed large datasets and created dashboards for business insights."
Data Analyst,"Data Analyst with 6 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2020. Analyzed large datasets and created dashboards for business insights."
Machine Learning Engineer,"ML Engineer with 2 years experience. Python, TensorFlow, PyTorch, Keras, Scikit-learn, Machine Learning, Deep Learning, NLP, Computer Vision, MLflow, Docker, Kubernetes, AWS SageMaker, Git, SQL, Spark, Airflow. M.Tech AI 2022. Designed and deployed ML models at scale."
Android Developer,"Mobile Android Developer. Skills: Kotlin, Java, Android Studio, Jetpack Compose, REST API, Firebase, Room Database, Git, MVVM, Retrofit, Coroutines. 6 years experience. B.Tech IT 2023."
Web Developer,"Frontend Developer with 8 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2019. Designed responsive and user-friendly web interfaces."
Android Developer,"Android Developer with 7 years experience. Java, Kotlin, Android SDK, XML, REST API, Firebase, SQLite, Git, Material Design, MVVM, Retrofit, Coroutines. B.Tech CSE 2020. Published multiple apps on Google Play Store."
Web Developer,"Frontend Developer with 3 years experience. Skills: HTML, CSS, JavaScript, TypeScript, React, Angular, Vue, Bootstrap, Tailwind, jQuery, Git, GitHub, Webpack, REST API, Node.js, MongoDB. B.Tech Computer Science 2019. Designed responsive and user-friendly web interfaces."
Testing,"QA Engineer with 3 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2022."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 7 years experience. B.Tech 2020."
Java Developer,"Senior Java Developer. Skills: Java, J2EE, Spring, Spring Boot, Hibernate, REST API, SOAP, MySQL, Oracle, Git, Docker, Kubernetes, Jenkins, Maven. 6 years experience. MCA 2022."
Testing,"QA Engineer with 5 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2015."
Data Analyst,"Business Data Analyst with 6 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2023. Delivered actionable insights to stakeholders through reports and dashboards."
Testing,"QA Engineer with 8 years experience in Manual Testing, Automation Testing, Selenium, Java, Python, TestNG, JUnit, REST API Testing, Postman, JIRA, Git, Agile, Scrum. B.Tech CSE 2015."
Data Science,"Data Scientist with 2 years hands-on experience. Skills: Python, R, SQL, Machine Learning, Deep Learning, Neural Networks, TensorFlow, Keras, Scikit-learn, Pandas, NumPy, Data Visualization, Tableau, Power BI, AWS, Azure, Docker, Git, NLP, Time Series Forecasting. M.Tech Data Science 2017. Experience in building end-to-end ML pipelines and deploying models to production."
Machine Learning Engineer,"Machine Learning Engineer skilled in Python, Scikit-learn, TensorFlow, PyTorch, NLP, Deep Learning, Feature Engineering, Model Deployment, Docker, AWS, MLflow, DVC, Git, SQL, Pandas, NumPy. 2 years experience. B.Tech CSE 2015."
Web Developer,"Full Stack Web Developer with 7 years experience in JavaScript, React, Node.js, HTML, CSS, Bootstrap, Tailwind, Vue, Angular, MongoDB, SQL, PostgreSQL, REST API, GraphQL, Git, Docker, AWS, Heroku. B.Tech Information Technology 2022. Built scalable web applications and RESTful APIs."
Data Analyst,"Data Analyst with 6 years experience in SQL, Excel, Power BI, Tableau, Python, Pandas, NumPy, Matplotlib, Seaborn, Statistics, Data Visualization, ETL, Data Cleaning, Google Sheets, R, SPSS. B.Sc Statistics 2023. Analyzed large datasets and created dashboards for business insights."
Python Developer,"Python Developer with 3 years experience. Python, Django, Flask, FastAPI, REST API, SQL, PostgreSQL, MongoDB, Redis, Docker, AWS, Git, Celery, NumPy, Pandas. B.Tech CSE 2019. Built and maintained scalable Python applications."
DevOps Engineer,"Cloud DevOps Engineer. Skills: AWS, Azure, Docker, Kubernetes, Jenkins, Terraform, Ansible, Git, Linux, Bash, Python, CI/CD, Monitoring, Prometheus. 4 years experience. B.Tech 2017."
SQL Developer,"SQL Developer with 8 years experience in SQL, MySQL, PostgreSQL, Oracle, SQL Server, Stored Procedures, Triggers, Views, Indexing, ETL, SSIS, Power BI, Tableau, Python. B.Sc Computer Science 2018."
Data Analyst,"Business Data Analyst with 3 years. Skills: Excel, SQL, Power BI, Tableau, Python, R, Statistics, Data Mining, Data Visualization, Pivot Tables, VBA, Google Analytics. MBA 2019. Delivered actionable insights to stakeholders through reports and dashboards."
